week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
25,75.0,72.64999999999999,73.4,77.4,63.699999999999996,72.26666666666667,72.56666666666666,73.2,78.66666666666667,79.46666666666667,62.800000000000004,70.26666666666667,52.76666666666666,75.76666666666667,78.60000000000001,72.64,75.64,57.03333333333333,78.63333333333334,73.73333333333333,75.2,70.96666666666667,76.53333333333333,69.86666666666666,73.46666666666667,73.43333333333334,73.7,71.60000000000001,60.666666666666664,72.36666666666666,75.56666666666666,
26,,67.73333333333333,73.85,75.5,64.36666666666667,73.16666666666667,72.93333333333334,69.5,77.96666666666667,79.26666666666667,59.5,68.06666666666666,54.13333333333333,74.26666666666667,74.53333333333335,69.12,75.5,46.93333333333334,78.60000000000001,74.3,74.63333333333334,70.89999999999999,75.5,71.10000000000001,73.6,74.03333333333333,72.86666666666666,68.16666666666667,62.46666666666667,70.5,75.36666666666666,
27,,67.52000000000001,72.86666666666667,75.8,63.199999999999996,73.56666666666666,72.23333333333333,65.93333333333334,76.23333333333333,78.8,55.86666666666667,66.0,53.666666666666664,73.39999999999999,72.73333333333333,67.33333333333333,75.73333333333333,41.56666666666667,78.43333333333334,73.16666666666667,76.06666666666666,71.10000000000001,75.63333333333334,70.43333333333334,72.93333333333334,73.89999999999999,72.89999999999999,66.7,63.300000000000004,68.53333333333333,74.53333333333333,
28,70.69999999999999,63.839999999999996,71.05,75.86666666666667,60.26666666666667,73.83333333333333,70.03333333333333,63.833333333333336,75.83333333333333,78.56666666666666,55.96666666666667,66.93333333333332,52.96666666666667,74.13333333333334,74.3,69.26666666666667,69.96666666666667,39.93333333333334,76.76666666666667,71.86666666666666,76.23333333333333,71.5,73.7,67.3,72.89999999999999,72.66666666666667,73.63333333333334,65.3,63.5,66.3,74.73333333333333,
29,68.52000000000001,64.52000000000001,64.55999999999999,73.65,56.13333333333333,73.60000000000001,68.06666666666666,60.833333333333336,74.8,77.43333333333334,55.93333333333334,65.43333333333334,53.86666666666667,73.36666666666667,74.7,67.76666666666667,68.73333333333333,40.4,76.66666666666667,71.39999999999999,75.93333333333334,70.26666666666667,71.39999999999999,66.46666666666667,71.73333333333333,69.13333333333334,73.96666666666667,63.53333333333334,64.96666666666665,65.3,74.63333333333334,
30,69.35,66.64,62.199999999999996,72.33333333333333,50.300000000000004,71.86666666666666,68.96666666666667,59.333333333333336,73.89999999999999,77.76666666666667,55.06666666666666,64.03333333333335,52.9,71.46666666666665,72.95,67.13333333333334,64.13333333333334,41.2,75.3,70.7,76.06666666666666,70.33333333333333,72.16666666666667,65.06666666666668,71.06666666666666,69.60000000000001,71.03333333333333,65.66666666666667,63.5,65.06666666666668,75.16666666666667,
31,66.03999999999999,67.9,60.36,73.6,47.43333333333334,73.60000000000001,68.36666666666666,56.5,72.86666666666666,76.86666666666666,51.73333333333333,62.53333333333333,51.26666666666667,71.33333333333333,75.85,64.76666666666667,65.67999999999999,42.9,76.66666666666667,68.73333333333333,75.5,70.16666666666667,70.66666666666667,64.06666666666666,71.06666666666666,70.33333333333333,70.86666666666666,66.89999999999999,66.3,64.93333333333334,74.3,
32,72.05,66.19999999999999,61.650000000000006,72.4,45.43333333333334,73.39999999999999,67.43333333333334,51.63333333333333,72.16666666666667,77.5,49.333333333333336,60.93333333333334,47.699999999999996,71.03333333333335,75.1,63.333333333333336,65.08,42.666666666666664,76.73333333333333,69.26666666666667,75.13333333333334,70.23333333333333,71.2,64.0,68.7,69.60000000000001,69.83333333333333,67.39999999999999,68.89999999999999,65.0,72.39999999999999,
33,69.91999999999999,63.65,59.7,72.19999999999999,43.1,71.13333333333334,66.76666666666667,50.0,70.7,75.86666666666666,51.73333333333333,60.93333333333334,45.833333333333336,67.96666666666667,75.06666666666666,61.93333333333334,61.26666666666667,45.03333333333333,76.06666666666666,68.76666666666667,73.76666666666667,71.39999999999999,70.7,64.73333333333333,67.36666666666666,69.86666666666666,68.60000000000001,69.06666666666666,68.66666666666667,64.36666666666666,70.66666666666667,
34,67.72,62.45,64.56,72.1,44.300000000000004,70.76666666666667,66.93333333333332,51.333333333333336,67.86666666666666,74.23333333333333,52.63333333333333,60.1,46.23333333333333,61.96666666666666,75.60000000000001,61.166666666666664,58.6,44.56666666666666,74.60000000000001,68.60000000000001,73.39999999999999,71.53333333333333,70.63333333333334,66.26666666666667,68.8,68.73333333333333,70.03333333333333,67.86666666666666,67.83333333333333,59.0,67.73333333333333,
35,60.8,63.839999999999996,65.60000000000001,67.8,42.4,68.66666666666667,66.96666666666667,50.699999999999996,66.46666666666667,75.16666666666667,55.03333333333333,62.93333333333334,45.5,61.26666666666667,75.4,58.833333333333336,57.120000000000005,45.699999999999996,72.60000000000001,69.76666666666667,72.33333333333333,70.96666666666667,70.86666666666666,67.16666666666667,68.73333333333333,69.4,70.5,68.3,67.06666666666666,57.166666666666664,62.63333333333333,
36,59.800000000000004,61.36,65.56666666666666,64.33333333333333,39.93333333333333,66.76666666666667,67.46666666666665,46.73333333333333,70.56666666666666,73.89999999999999,54.800000000000004,63.300000000000004,44.199999999999996,60.76666666666667,73.75,57.36666666666667,57.43333333333334,50.03333333333333,70.23333333333333,70.53333333333333,69.83333333333333,69.46666666666665,70.43333333333334,67.53333333333333,66.43333333333334,69.16666666666667,70.13333333333334,69.66666666666667,64.93333333333334,53.03333333333334,61.333333333333336,
37,57.65,61.8,66.5,62.15,38.5,66.33333333333333,66.83333333333333,42.63333333333333,70.86666666666666,75.03333333333333,55.199999999999996,64.8,46.63333333333333,60.46666666666667,73.65,55.73333333333334,59.93333333333334,52.46666666666667,68.2,70.76666666666667,69.46666666666667,68.89999999999999,68.7,67.83333333333333,62.03333333333333,69.06666666666666,70.63333333333334,68.63333333333334,63.833333333333336,49.166666666666664,55.833333333333336,
38,59.120000000000005,60.449999999999996,63.866666666666674,58.839999999999996,37.96666666666667,66.56666666666666,67.26666666666667,45.699999999999996,71.89999999999999,74.43333333333334,55.73333333333333,66.43333333333334,44.96666666666667,60.23333333333333,72.53333333333333,54.6,59.279999999999994,54.46666666666667,68.39999999999999,71.3,68.8,67.73333333333333,66.89999999999999,67.89999999999999,59.36666666666667,69.43333333333334,70.10000000000001,67.5,62.9,46.800000000000004,51.199999999999996,
39,59.92,63.199999999999996,65.64,61.8,40.233333333333334,67.7,67.13333333333334,48.86666666666667,72.93333333333334,70.96,55.86666666666667,67.10000000000001,44.46666666666667,57.96666666666667,71.7,55.64,59.4,56.699999999999996,68.5,68.96666666666667,66.53333333333333,66.86666666666666,63.300000000000004,69.16666666666667,55.86666666666667,68.89999999999999,71.36666666666666,65.76666666666667,62.26666666666667,49.666666666666664,54.56666666666666,
40,62.866666666666674,66.15,65.83333333333333,58.760000000000005,43.03333333333333,67.7,65.2,53.03333333333333,73.03333333333335,68.56,57.03333333333333,66.16666666666667,43.26666666666667,56.56666666666666,72.46666666666667,58.7,62.05,57.1,,68.06666666666666,67.53333333333333,66.46666666666667,63.36666666666667,70.10000000000001,54.96666666666667,67.96666666666667,70.89999999999999,60.366666666666674,58.96666666666667,52.6,,
41,61.93333333333334,66.25,62.56666666666666,63.279999999999994,46.53333333333333,65.86666666666666,67.53333333333335,56.36666666666667,72.46666666666667,66.86666666666666,56.73333333333333,65.73333333333333,43.5,55.666666666666664,73.0,61.199999999999996,63.1,60.26666666666667,,68.60000000000001,66.8,65.06666666666666,64.7,69.63333333333334,54.400000000000006,65.26666666666667,69.66666666666667,59.1,57.43333333333334,51.199999999999996,,
42,64.4,66.0,62.26666666666667,65.08,49.300000000000004,64.96666666666665,67.63333333333334,58.4,72.53333333333333,69.06666666666666,55.86666666666667,66.73333333333333,44.26666666666667,56.699999999999996,76.26666666666667,60.666666666666664,64.6,60.6,68.8,69.73333333333333,65.2,64.86666666666666,63.96666666666667,69.86666666666667,56.56666666666666,65.13333333333334,69.39999999999999,56.46666666666666,57.4,49.6,,
43,65.2,66.60000000000001,62.599999999999994,61.160000000000004,47.166666666666664,62.666666666666664,66.23333333333333,61.03333333333334,71.56666666666666,71.0,57.300000000000004,66.8,47.63333333333333,57.76666666666667,73.35,59.73333333333333,65.03999999999999,61.56666666666667,68.76666666666667,70.60000000000001,64.16666666666667,62.9,66.10000000000001,69.36666666666666,59.53333333333333,65.86666666666666,71.96666666666667,55.699999999999996,58.36666666666667,47.53333333333333,,
44,67.56,,64.76666666666667,64.86666666666667,,,,,71.96666666666667,71.83333333333333,,,,56.199999999999996,,,,,,70.47999999999999,66.95,56.666666666666664,66.35,68.05,60.5,67.86666666666667,71.6,49.65,53.6,51.8,,
45,,,,,,,,,,,,,,,,,,,,70.2,66.15,58.800000000000004,66.2,67.25,59.75,65.7,71.45,51.4,51.8,55.1,,
46,,,,,,,,,,,,,,,,,,,,69.85,66.2,57.15,66.25,67.0,58.65,64.15,69.7,50.9,48.2,58.599999999999994,63.53333333333333,
47,,,,,,,,,,,,,,,,,,,,69.0,66.8,56.300000000000004,65.95,65.5,58.2,64.35,69.25,49.8,50.7,56.7,63.26666666666667,
48,,,,,,,,,,,,,,,,,,,,,66.69999999999999,,,,,66.0,,,,,,
